id_cliente,horas_consumo_mensual,gasto_mensual,cantidad_contenidos_vistos,sesiones_semana,porcentaje_finalizacion,tiempo_promedio_sesion_min,cantidad_generos_consumidos,porcentaje_uso_promociones,antiguedad_cliente_meses,edad,dispositivos_registrados,porcentaje_uso_app_movil,cantidad_perfiles_creados,interacciones_mensuales_soporte,distancia_promedio_red_km,cluster,pc1,pc2
1070,34,588,36,4,94,161,13,0.1365964126834264,47,47.0,1,0.45,3,4,59.6,2,3.0302253258409237,-0.28746603250267927
1071,43,537,28,6,70,142,5,0.0464425390293634,72,31.0,4,0.88,2,0,14.4,2,2.2587474236093876,-0.826759113162723
1072,29,172,59,12,90,98,5,0.272611257254577,22,37.0,3,0.53,1,1,16.4,0,0.38991507122489805,1.3919176043568893
1073,21,298,27,14,91,74,9,0.3480291023714054,49,66.0,5,0.2,1,7,71.3,0,0.5759111554960675,0.9873916456401284
1074,56,406,15,9,70,274,11,0.0286255971096939,43,42.0,2,0.67,4,2,60.2,2,2.813833223456695,-1.1249868110913306
1075,39,95,10,4,68,78,1,0.261749618446487,13,57.0,4,0.79,4,4,72.8,1,-1.6220437182241052,-0.38213428544521844
1076,48,76,4,4,33,56,4,0.5013730084775181,8,41.0,2,0.1,1,1,60.9,1,-2.245599059570959,-1.0863541257919997
1077,34,406,24,4,81,292,6,0.0024406144636089,90,31.0,4,0.87,3,4,48.2,2,3.124204413823965,-0.7771599636177855
1078,33,283,55,15,66,128,6,0.1726390867205702,29,43.0,3,0.27,5,1,52.7,0,0.7376782910477496,1.6946622751595322
1079,23,101,15,1,55,16,2,0.5517378992100784,18,55.0,3,0.6,5,2,71.2,1,-2.6187821068888133,0.41777451576930524
1080,39,230,59,15,51,167,6,0.4675002089042986,24,40.0,3,0.47,1,2,46.7,0,0.2046720257306479,1.2568383220935098
1081,37,376,19,1,97,150,14,0.0137843078734437,90,39.0,3,0.75,1,3,51.0,2,3.3391989906561563,-1.0974038873091028
1082,46,107,8,0,31,15,3,0.2736864691074403,5,65.0,1,0.43,1,5,13.4,1,-2.2805916615324335,-1.9307150000039455
1083,35,209,65,8,93,146,3,0.2328585650619755,59,36.0,1,0.88,3,1,38.4,0,1.3492873237583056,1.2836807143860607
1084,29,268,66,13,92,68,4,0.4211413794392046,45,63.0,5,0.76,4,7,57.6,0,0.22837486787541378,1.783902859055268
1085,23,154,71,15,77,61,9,0.2387812807584911,53,68.0,2,0.68,1,3,22.4,0,0.8371494245243675,2.2130154729146567
1086,41,136,62,16,90,113,3,0.2993471090957919,25,20.0,4,0.82,1,1,17.0,0,0.512319857839048,1.3332410001111272
1087,41,62,17,4,52,26,2,0.2078566739530002,21,59.0,4,0.78,2,3,25.8,1,-1.7380852693763613,-0.7388382668543333
1088,24,110,9,0,29,67,1,0.3106777228513137,7,36.0,1,0.13,3,2,20.1,1,-2.36646238535806,-0.7697169943657637
1089,30,473,22,7,88,242,12,0.1796108578881427,71,26.0,4,0.46,1,4,18.0,2,3.2616477109329973,-0.8791934863085759
1090,47,58,17,4,38,34,4,0.5389046799575699,18,45.0,1,0.94,2,6,34.6,1,-2.006045533445428,-1.125124036047622
1091,15,197,70,19,89,125,8,0.2763050987752913,69,37.0,5,0.21,5,3,72.7,0,1.4706719824915653,3.239146843687543
1092,47,67,19,6,13,5,4,0.7170713726081104,7,62.0,2,0.76,1,1,41.1,1,-3.1576495815684575,-0.41766007269134997
1093,32,537,19,3,83,281,5,0.0050772711320689,67,24.0,5,0.98,1,1,15.8,2,2.971086209716722,-1.1456185720311212
1094,49,79,7,4,17,69,1,0.3331832971597697,24,31.0,3,0.15,2,6,7.1,1,-2.059075728306971,-2.107443679012045
1095,52,504,38,8,91,186,7,0.1305492215703749,86,26.0,3,0.71,3,5,56.0,2,3.2687809030904456,-0.7574203289205836
1096,25,63,3,7,33,82,4,0.7134178808637714,11,36.0,3,0.52,1,7,31.2,1,-2.597437233249534,-0.6665676624994832
1097,33,97,5,5,30,18,3,0.3943940366640798,18,64.0,5,0.62,5,2,65.9,1,-2.6842343631035592,-0.07117022652906693
1098,24,103,7,0,32,89,3,0.2736661337976251,19,69.0,4,0.18,1,1,53.1,1,-2.1648446227935576,-0.46593910549086887
1099,18,148,79,22,41,60,9,0.3499045084173005,30,31.0,2,0.14,5,0,63.9,0,-0.04328463724196445,3.811616593907961
1100,24,249,22,16,59,64,7,0.2637646608764962,49,55.0,3,0.7,4,4,22.5,0,0.07230897802067292,0.885582836451691
1101,23,172,63,7,91,145,6,0.156045270306581,29,53.0,3,0.84,4,3,55.7,0,0.7685267065771162,1.6922103759028047
1102,47,88,14,6,41,85,2,0.2134815849920704,14,57.0,3,0.8,5,5,21.9,1,-1.5536203115065332,-1.0582107691083422
1103,23,159,21,17,64,162,3,0.1557424296291296,62,34.0,2,0.59,3,7,75.2,0,0.5329245420335013,1.0897806140973225
1104,21,55,13,1,32,41,3,0.6935503255470045,21,47.0,3,0.19,1,6,51.3,1,-2.9742705382120307,-0.44431081188679694
1105,63,266,14,9,75,241,11,0.0213157460257348,61,26.0,2,0.72,1,4,26.6,2,2.9465887360766856,-2.005016939292117
1106,35,146,76,10,66,99,4,0.3402067441734613,26,50.0,3,0.32,4,2,22.3,0,-0.19918136628725414,1.5141164182655193
1107,27,74,17,1,30,66,2,0.4532216357304124,2,69.0,5,0.92,5,5,16.1,1,-2.921896821058151,-0.5537508909945813
1108,30,556,30,4,88,145,9,0.1674157981406059,50,42.0,5,0.85,1,7,55.9,2,2.1653468695803832,-0.629201544707684
1109,18,232,78,11,79,158,8,0.2904201608796398,66,31.0,2,0.74,1,3,18.3,0,1.851316323864509,1.9332421268985638
1110,38,269,24,5,75,170,6,0.1648055511566338,62,28.0,5,0.95,3,3,48.0,2,1.3416807644412023,-0.5085451141874922
1111,31,228,62,6,48,85,4,0.1426393012535087,28,52.0,2,0.13,2,6,21.9,0,-0.16233026180042498,0.3553423756434256
1112,22,136,20,15,79,101,3,0.1985608132956427,22,58.0,5,0.76,4,0,53.3,0,-0.6895462276118587,1.6165637645513726
1113,59,351,11,3,74,163,5,0.0273637261837922,49,31.0,5,0.4,4,6,65.4,2,1.3967270691356137,-2.094519759250488
1114,41,567,25,8,88,127,9,0.1518071691077699,76,47.0,2,0.92,2,2,62.5,2,2.7465569553252394,-0.21880833362967642
1115,33,99,8,0,27,16,3,0.6159051268741549,9,58.0,4,0.34,1,5,61.1,1,-3.182136187976658,-0.9489420041875841
1116,55,296,19,7,86,270,14,0.1135890461105259,97,21.0,5,0.75,3,5,15.8,2,3.919641019607183,-1.9371939046001776
1117,36,519,24,5,76,256,7,0.1848792390753061,89,21.0,3,0.89,3,1,8.0,2,3.146019403840657,-0.944477309555358
1118,41,201,50,24,78,158,4,0.3089738304284676,58,45.0,4,0.14,4,0,56.2,0,1.0039041795051282,2.1605850819444066
1119,46,263,33,3,81,164,6,0.1769996713046562,82,25.0,2,0.46,3,0,30.1,2,1.9486444452817298,-0.7127180827759406
1120,43,84,12,6,24,8,1,0.596993105048325,13,19.0,4,0.79,2,5,35.2,1,-2.800929714382207,-0.9861607465347028
1121,47,410,25,2,92,289,6,0.0042538821700774,94,58.0,1,0.51,1,5,3.5,2,3.4387950283620126,-1.9680363497282158
1122,42,390,27,3,96,158,8,0.0105367671954457,88,63.0,1,0.34,2,4,21.5,2,2.7468519896537478,-1.161330934912843
1123,43,181,72,16,55,115,6,0.4936333876797181,29,39.0,5,0.3,5,7,3.7,0,-0.013797090614945759,0.8763337626438255
1124,44,272,58,24,44,124,8,0.1013385448171916,64,58.0,5,0.22,4,4,70.5,0,1.3430049822877077,1.8716265926733795
1125,28,239,49,22,43,77,8,0.3356434137883579,67,33.0,3,0.87,3,4,20.2,0,0.760931382869319,1.7629832652422972
1126,18,82,14,6,18,19,1,0.4349780843242137,4,46.0,4,0.62,5,0,45.0,1,-3.2785575850737425,0.8014486246989379
1127,41,436,35,5,98,290,10,0.1964661030160163,85,66.0,1,0.17,3,1,4.1,2,3.513107105880392,-0.7640366987382646
1128,53,260,39,2,94,171,8,0.0463343402766886,59,65.0,5,0.44,1,3,53.7,2,1.9381265439627304,-0.9784037873429079
1129,43,182,73,23,84,169,4,0.1187781428591252,45,47.0,4,0.43,1,4,26.5,0,1.5635107391216732,1.8284844794689235
1130,20,35,5,4,63,51,3,0.7302715309780554,3,29.0,5,0.26,1,1,71.9,1,-2.8429554468422364,0.31701872884912274
1131,37,90,10,2,59,86,2,0.7978014654840346,3,52.0,5,0.49,3,6,71.2,1,-2.7816248393019376,-0.7205415517556047
1132,17,132,75,19,64,132,6,0.3320344831351245,53,28.0,1,0.4,5,2,26.7,0,0.7618655054879295,3.005532718355095
1133,25,224,75,7,67,88,3,0.1177506654132947,53,63.0,1,0.41,1,4,72.2,0,0.46935205199921987,1.8116678771754378
1134,26,289,28,19,79,84,7,0.3940850618093811,53,67.0,5,0.77,5,6,79.7,0,0.3017250899511839,1.7102198340112134
1135,53,373,24,6,77,252,14,0.1065205038801524,76,38.0,2,0.3,3,3,66.2,2,3.447873814660371,-1.150467832526507
1136,42,295,32,9,52,140,4,0.2980586108055897,51,38.0,5,0.68,5,2,67.7,0,0.2839575532326755,0.26059235365018857
1137,46,87,3,7,49,44,3,0.7186957281844091,1,22.0,5,0.61,3,2,20.7,1,-2.5129009900169623,-1.0796500716512427
1138,23,117,19,7,49,63,3,0.2962400631980433,13,65.0,3,0.61,3,3,46.6,1,-1.8158072840017105,0.5049469206067144
1139,42,82,10,3,36,42,4,0.2951630631758442,11,37.0,3,0.7,4,4,6.3,1,-1.8018894907254863,-1.387645907550387
1140,60,272,19,5,99,158,6,0.1635934048238124,53,54.0,3,0.59,3,0,8.5,2,1.6072268242904726,-1.51337056471134
1141,42,261,16,2,82,165,5,0.1119688624617659,79,20.0,2,0.89,3,3,79.9,2,1.716693952124633,-0.7929130022999819
1142,16,207,64,7,87,129,5,0.4044111610008112,29,61.0,2,0.71,2,3,26.8,0,0.13301133281556862,1.6968801125426176
1143,49,92,15,5,46,26,4,0.3042520851845401,4,50.0,5,0.59,1,3,60.1,1,-1.8932057988647801,-0.8597197708427342
1144,32,187,46,21,51,81,3,0.3328681840705093,20,26.0,3,0.85,4,2,64.7,0,-0.5535219431066613,2.200328348435802
1145,36,239,78,22,89,73,9,0.4875511421142766,55,26.0,2,0.65,4,7,68.8,0,1.4848549361176162,2.5597519252705436
1146,41,299,31,11,68,70,3,0.2294440876598165,34,21.0,1,0.36,4,1,79.8,0,0.1972162387227432,0.6807602258143114
1147,49,80,11,1,32,30,2,0.3641759997689995,29,52.0,5,0.29,2,6,20.1,1,-2.164912479855192,-1.9864845150822228
1148,21,110,3,4,50,43,3,0.6768857292499577,29,34.0,4,0.24,3,0,4.2,1,-2.337331911742858,-0.3331680296358794
1149,25,235,51,6,86,137,6,0.3618044857124541,46,51.0,5,0.91,1,4,33.5,0,0.6368921641631802,0.7116939330853947
1150,17,200,63,19,55,160,5,0.4858081889080834,38,41.0,4,0.74,5,4,11.3,0,0.04277061527571177,2.3663928939789156
1151,34,506,35,6,84,281,7,0.0062268165769022,64,49.0,3,0.94,3,6,2.8,2,3.173523743242387,-0.8975558653909784
1152,38,131,37,19,83,139,5,0.4872773711658887,65,18.0,4,0.64,2,1,29.5,0,0.8030672581314543,1.16277771042338
1153,39,264,48,12,54,86,8,0.3121417574913024,26,25.0,3,0.53,3,3,62.9,0,0.3558785244130083,0.8474129488716355
1154,20,93,12,4,33,64,2,0.5699901887124429,14,62.0,1,0.15,3,7,45.7,1,-2.778766605466788,-0.1945191419482226
1155,44,402,39,7,86,245,8,0.0860611789798925,77,40.0,4,0.7,2,0,25.7,2,3.070755868730095,-0.3738296505455146
1156,30,182,41,6,63,131,5,0.4937405629611616,36,64.0,5,0.62,4,4,52.7,0,-0.6426948967199445,0.609338101572505
1157,25,50,18,5,27,42,4,0.594190314538696,25,57.0,3,0.99,4,6,19.3,1,-2.5584782583309686,-0.16306507393738143
1158,62,351,18,8,80,298,12,0.029184414807029,51,29.0,5,0.32,1,5,2.1,2,3.343878888963386,-2.5125541275253
1159,39,165,51,19,55,113,8,0.1841398319675474,52,29.0,2,0.58,1,7,61.4,0,1.0930562095059844,1.1114259878200206
1160,27,69,18,3,42,6,1,0.2527198994869,13,63.0,3,0.69,4,6,50.3,1,-2.527031444671082,-0.12049517183777571
1161,47,62,13,3,35,26,3,0.2796294524258362,7,64.0,4,0.68,5,7,61.2,1,-2.365555955288584,-1.071278717566152
1162,43,75,18,6,43,48,1,0.7709299846131963,29,32.0,3,0.61,3,4,4.1,1,-2.366466215803598,-0.9158440366060362
1163,20,35,9,5,18,36,1,0.6254363116705499,8,58.0,5,0.8,5,3,67.1,1,-3.7690779986841356,0.5724631241171813
1164,25,79,15,2,16,79,4,0.5318008715551752,6,36.0,1,0.28,3,5,49.9,1,-2.569908669157946,-0.43247895408557935
1165,40,141,45,7,80,119,4,0.2754428865958154,37,43.0,3,0.75,4,1,45.5,0,0.1786272272850767,0.6142412331308019
1166,41,336,21,9,82,241,7,0.1951730511638262,75,69.0,4,0.66,1,0,50.3,2,2.049543934909926,-0.16259409789751755
1167,27,255,48,23,83,141,8,0.3876807113089056,41,46.0,2,0.91,1,1,69.3,0,1.1641825313442489,2.650801096274158
1168,19,215,75,13,42,87,4,0.2613045444495327,48,39.0,1,0.86,5,1,47.4,0,0.06862133679895868,2.7538426673074836
1169,36,216,26,16,88,153,7,0.3908676279065232,43,57.0,2,0.38,1,6,46.9,0,0.7847731479953663,0.41630251809145924
1170,37,66,4,3,53,24,4,0.2240655148474895,17,38.0,3,0.35,4,7,79.3,1,-1.7044200981976592,-0.8832993786446389
1171,49,65,2,7,45,70,3,0.7404211184067553,6,68.0,5,0.98,5,0,60.8,1,-2.855394829217652,-0.329944610602177
1172,21,289,70,23,93,71,5,0.3491866334253931,59,55.0,5,0.57,3,0,35.9,0,0.971948192167527,3.336568501822581
1173,38,44,1,2,35,12,4,0.7454195123993848,23,37.0,4,0.92,1,4,56.9,1,-2.8575292421367093,-1.0082272925170146
1174,24,291,33,18,41,178,7,0.4417540373478317,64,46.0,5,0.25,2,4,31.7,0,0.5420421537149087,1.0099502724230167
1175,31,118,2,6,15,21,3,0.3872888340178683,28,68.0,1,0.68,1,0,19.1,1,-2.443501642338819,-0.42706280102288313
1176,16,282,56,9,40,99,6,0.1523494642873399,64,21.0,5,0.83,3,5,48.2,0,0.6750013021870873,1.3174525739392258
1177,40,76,11,1,12,18,4,0.5118643691336107,10,24.0,4,0.95,5,2,74.3,1,-2.780128559323029,-0.5598626615607969
1178,29,30,5,3,17,47,4,0.6240663301312676,22,45.0,3,0.4,3,4,74.4,1,-2.97303751960959,-0.3273313567418223
1179,49,533,34,5,84,284,5,0.1688340897938394,83,45.0,3,0.75,2,2,28.0,2,3.1935945048266796,-1.0946879104878269
1180,38,275,66,19,45,167,5,0.1447678477590911,69,21.0,5,0.58,4,6,42.7,0,1.5643268774654624,1.3488948806207122
1181,28,249,28,9,59,85,7,0.3560011867347655,54,39.0,2,0.15,1,5,17.7,0,0.26146339656648987,-0.16603009723854756
1182,20,178,24,5,88,110,8,0.3752831463466382,39,29.0,3,0.72,5,0,79.7,0,0.24129769471572768,1.124333124276067
1183,53,500,20,2,94,169,13,0.1160224459390936,95,62.0,5,0.72,4,5,78.5,2,3.365849912891312,-1.4485571835893545
1184,52,543,29,7,99,164,8,0.1409361525473293,81,20.0,4,0.94,3,4,52.3,2,3.323905268639202,-1.0121066901611657
1185,42,238,27,22,60,60,9,0.3690408472900505,51,39.0,5,0.55,5,1,64.5,0,0.421479491746703,1.422099733511701
1186,22,115,15,1,10,59,3,0.766768531684414,10,61.0,3,0.31,4,6,57.5,1,-3.493851675856685,-0.253640706317294
1187,59,363,27,1,95,255,12,0.1537038729047582,66,19.0,4,0.14,5,0,47.9,2,3.30653024234869,-1.618865792867993
1188,25,118,14,3,42,5,3,0.7645252138028391,14,41.0,5,0.47,2,3,5.2,1,-2.9564681635924828,-0.5157505614860907
1189,22,119,2,1,15,67,1,0.7198632005165873,25,51.0,1,0.37,2,6,36.9,1,-3.157842115078612,-0.8794991444460057
1190,30,132,28,17,70,164,5,0.4514062245205391,57,44.0,4,0.78,1,7,54.3,0,0.2545643240964894,0.8009293128322372
1191,28,251,57,23,45,157,4,0.451156463616531,42,58.0,1,0.42,1,2,54.5,0,0.11847974184562927,2.5162019594449885
1192,48,580,10,8,99,173,11,0.0011517320996243,54,18.0,2,0.95,2,5,30.5,2,3.556773135497734,-1.664271077469456
1193,30,325,35,7,84,268,7,0.0777116202540691,64,25.0,4,0.97,5,0,75.4,2,2.4900114401494893,0.7706862682687705
1194,50,78,17,2,53,15,3,0.3010666310856318,14,40.0,1,0.66,2,6,14.2,1,-1.541384668709638,-1.691030400736254
1195,24,293,28,7,60,85,4,0.2916727510518924,48,55.0,3,0.94,1,5,40.5,0,-0.1274594756192034,0.22595833369857213
1196,40,272,31,9,73,107,7,0.1984278635191993,55,23.0,3,0.78,2,0,55.6,0,1.1932263324780712,0.28339489935290496
1197,32,72,16,6,15,50,2,0.6292945442595648,11,39.0,2,0.59,2,4,56.1,1,-2.942202870416722,-0.11934264405895315
1198,50,356,32,5,97,262,13,0.1309386162862696,90,42.0,4,0.26,5,6,52.2,2,3.7300217098406607,-1.1778263135615248
1199,44,573,30,6,88,153,8,0.0513553135441015,91,35.0,4,0.51,4,4,22.7,2,3.245140909000412,-1.0741827554579373
1200,56,406,24,3,77,263,14,0.1220667566621836,57,34.0,4,0.6,1,6,13.3,2,3.333052436164409,-2.4476141568503267
1201,19,78,13,3,35,79,3,0.6086707123789897,10,29.0,2,0.88,5,4,51.2,1,-2.4901755099456264,0.1944511083292289
1202,21,260,50,11,88,101,7,0.2026251134805455,55,23.0,4,0.53,2,7,48.3,0,1.306371019250851,1.028089516553821
1203,34,237,26,5,83,179,7,0.3532605502376089,32,43.0,3,0.91,2,5,15.2,0,0.7292042739697915,-0.6727188900226438
1204,51,367,30,6,97,256,14,0.0424089679816453,49,44.0,1,0.71,4,3,56.7,2,3.512439678297956,-0.7878403748932443
1205,41,71,8,7,25,53,2,0.3533869986855634,4,25.0,3,0.22,1,6,37.0,1,-2.2800144465898544,-1.2037305317885814
